file_id,region,condition,parameter,coordinate_type,n_accepted_candidate_values,log10_value_span,within_range_fraction,step03_identifiability_status,cell_specific_identifiability_status,claim_scope
3_DH_1_CONTROL,DH,CONTROL,gl_a,raw,9,3.2514900656544095,0.5555555555555556,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
3_DH_1_CONTROL,DH,CONTROL,volume_ratio_wa_wo,effective,9,1.3812612234898445,1.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
3_DH_1_CONTROL,DH,CONTROL,zs,raw,9,2.6537657684846616,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
3_DH_1_CONTROL,DH,CONTROL,zth,raw,9,0.8025627482711253,0.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
3_DH_2_CONTROL,DH,CONTROL,P_gap_eff,effective,7,1.8675533621550038,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
3_DH_2_CONTROL,DH,CONTROL,eps,raw,7,0.5799633392342374,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
3_DH_2_CONTROL,DH,CONTROL,gamma_s_eff,effective,7,5.94410495798968,0.8571428571428571,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
3_DH_2_CONTROL,DH,CONTROL,gamma_t_eff,effective,7,3.229385016285841,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
3_DH_2_CONTROL,DH,CONTROL,gki,raw,7,0.8109643803353649,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
3_DH_2_CONTROL,DH,CONTROL,gl_a,raw,7,1.8027221834270097,0.42857142857142855,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
3_DH_2_CONTROL,DH,CONTROL,volume_ratio_wa_wo,effective,7,1.2019134459038003,1.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
3_DH_2_CONTROL,DH,CONTROL,zs,raw,7,2.6902044858620484,0.7142857142857143,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
3_DH_2_CONTROL,DH,CONTROL,zth,raw,7,0.49717961729256044,0.0,weakly_identified,cell_ensemble_tightly_constrained,cell_specific_parameter_claim_downgraded
DH_1_CONTROL,DH,CONTROL,P_gap_eff,effective,28,3.3334019328995934,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
DH_1_CONTROL,DH,CONTROL,eps,raw,28,1.0898912922338027,1.0,identifiable,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
DH_1_CONTROL,DH,CONTROL,gamma_s_eff,effective,28,5.651269722582446,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
DH_1_CONTROL,DH,CONTROL,gamma_t_eff,effective,28,3.140694498357931,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
DH_1_CONTROL,DH,CONTROL,gki,raw,28,2.4674449927657234,0.8571428571428571,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
DH_1_CONTROL,DH,CONTROL,gl_a,raw,28,3.7310030049758294,0.75,identifiable,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
DH_1_CONTROL,DH,CONTROL,volume_ratio_wa_wo,effective,28,2.1415614739690905,1.0,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
DH_1_CONTROL,DH,CONTROL,zs,raw,28,4.364807980962774,0.75,weakly_identified,cell_ensemble_broad_or_sloppy,cell_specific_parameter_claim_downgraded
DH_1_CONTROL,DH,CONTROL,zth,raw,28,1.055727270447024,0.0,weakly_identified,cell_ensemble_moderately_broad,cell_specific_parameter_claim_downgraded
DH_1_MFA_BA,DH,MFA_BA,P_gap_eff,effective,1,0.0,1.0,weakly_identified,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
DH_1_MFA_BA,DH,MFA_BA,eps,raw,1,0.0,1.0,identifiable,cell_ensemble_tightly_constrained,cell_specific_parameter_value_supported
