strategy,file_id,candidate_id,sweep,current_na,stim_onset_s,stim_offset_s,obs_baseline_mV,pred_baseline_mV,baseline_delta_pred_minus_obs_mV,raw_rmse_mV,centered_rmse_mV,baseline_aligned_rmse_mV,raw_minus_centered_rmse_mV,obs_stim_end_centered_mV,pred_stim_end_centered_mV,stim_end_delta_pred_minus_obs_mV,obs_peak_centered_mV,pred_peak_centered_mV,peak_delta_pred_minus_obs_mV
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,4,125,21.117,41.075,-56.0038913043478,-85.80110798091557,-29.79721667656777,31.121513506685364,2.414744983030041,2.414744983030041,28.706768523655324,17.51446086956539,13.547862006621855,-3.9665988629435347,18.666834782608667,13.623993251405821,-5.042841531202846
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,5,150,21.117,41.075,-55.62118695652175,-85.80110798091557,-30.179921024393828,31.579479408511197,3.546936672406698,3.546936672406698,28.0325427361045,20.156056521739337,13.547862006621855,-6.608194515117482,20.260834782608647,13.623993251405821,-6.636841531202826
nsga2_trace_feature_adaptive500,2_VH_1_CONTROL,2_VH_1_CONTROL__cand_05,6,175,21.117,41.075,-56.08970869565219,-85.80110798091557,-29.711399285263383,32.3622678317529,5.107481066825431,5.107481066825431,27.25478676492747,23.255278260869744,13.547862006621855,-9.707416254247889,23.75153478260875,13.623993251405821,-10.12754153120293
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,1,50,21.144,41.166,-62.4084,-85.74634087989568,-23.337940879895683,22.0268787026449,2.831517833593154,2.831517833593154,19.195360869051747,8.296765217391005,13.742272154357138,5.445506936966133,8.544899999999998,13.743189258560093,5.198289258560095
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,2,75,21.144,41.166,-63.0798,-85.74634087989568,-22.666540879895685,22.119425549678,1.2824333916891584,1.2824333916891593,20.836992157988842,12.525460869565066,13.742272154357138,1.2168112847920725,12.623591304347563,13.743189258560093,1.11959795421253
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,3,100,21.144,41.166,-63.67028695652189,-85.74634087989568,-22.07605392337379,23.413358408236924,1.8012323580013683,1.8012323580013683,21.612126050235556,16.646665217391757,13.742272154357138,-2.904393063034618,16.646665217391757,13.743189258560093,-2.903475958831663
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,4,125,21.144,41.166,-64.20236956521745,-85.74634087989568,-21.54397131467823,22.735536500513515,3.1282737512966277,3.1282737512966277,19.607262749216886,19.174369565215194,13.742272154357138,-5.432097410858056,19.293730434782617,13.743189258560093,-5.550541176222524
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,5,150,21.144,41.166,-64.84316956521745,-85.74634087989568,-20.903171314678232,23.44353978337247,4.584003482465837,4.584003482465837,18.859536300906633,22.82046956521745,13.742272154357138,-9.078197410860312,22.82046956521745,13.743189258560093,-9.077280306657357
nsga2_trace_feature_adaptive500,3_DH_1_CONTROL,3_DH_1_CONTROL__cand_07,6,175,21.144,41.166,-65.60616956521744,-85.74634087989568,-20.14017131467824,23.51979831970214,6.050263349435819,6.050263349435819,17.46953497026632,25.719669565217444,13.742272154357138,-11.977397410860306,25.719669565217444,13.743189258560093,-11.97648030665735
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,1,50,21.096,41.082,-65.41136956521736,-85.74345514561202,-20.33208558039466,20.032630118600242,2.586033712860873,2.586033712860873,17.44659640573937,10.710973913043034,13.725395677257097,3.014421764214063,10.710973913043034,13.72583520071045,3.014861287667415
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,2,75,21.096,41.082,-65.19614782608697,-85.74345514561202,-20.547307319525046,21.576221726269747,2.061310051184357,2.061310051184357,19.51491167508539,16.119073913043707,13.725395677257097,-2.3936782357866093,16.119073913043707,13.72583520071045,-2.3932387123332575
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,3,100,21.096,41.082,-64.7158652173913,-85.74345514561202,-21.02758992822072,23.448917155102574,3.673494111882929,3.673494111882929,19.775423043219647,20.93165217391293,13.725395677257097,-7.206256496655833,20.93165217391293,13.72583520071045,-7.205816973202481
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,4,125,21.096,41.082,-64.92522173913045,-85.74345514561202,-20.818233406481568,24.79818222440201,5.693502879831657,5.693502879831657,19.10467934457035,25.299630434782493,13.725395677257097,-11.574234757525396,25.299630434782493,13.72583520071045,-11.573795234072044
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,5,150,21.096,41.082,-65.38726521739129,-85.74345514561202,-20.35618992822073,25.724412952059122,7.550721501147586,7.550721501147586,18.173691450911537,29.269682608695327,13.725395677257097,-15.54428693143823,29.269682608695327,13.72583520071045,-15.543847407984877
nsga2_trace_feature_adaptive500,DH_1_MFA,DH_1_MFA__cand_20,6,175,21.096,41.082,-66.49741304347825,-85.74345514561202,-19.24604210213377,26.57979698752455,9.671129743013694,9.671129743013694,16.908667244510855,33.56281304347824,13.725395677257097,-19.837417366221146,33.56281304347824,13.72583520071045,-19.836977842767794
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,1,50,21.106,41.102,-62.16952173913045,-85.77799775672433,-23.60847601759388,23.0173274128762,2.7643824263461143,2.7643824263461143,20.252944986530085,9.47586521739131,13.599037577251934,4.123172359860625,9.47586521739131,13.600122474705387,4.124257257314078
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,2,75,21.106,41.102,-61.67326521739129,-85.77799775672433,-24.104732539333042,24.71679899307649,1.3244283143146987,1.3244283143146987,23.392370678761793,14.267630434782475,13.599037577251934,-0.6685928575305411,14.267630434782475,13.600122474705387,-0.6675079600770886
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,3,100,21.106,41.102,-61.480852173913036,-85.77799775672433,-24.297145582811297,25.969639504965677,2.2172572742029613,2.2172572742029613,23.752382230762716,18.41735217391308,13.599037577251934,-4.818314596661146,18.41735217391308,13.600122474705387,-4.817229699207694
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,4,125,21.106,41.102,-61.364086956521746,-85.77799775672433,-24.413910800202586,27.25334377465913,3.92097580780313,3.92097580780313,23.332367966855998,22.52914347826097,13.599037577251934,-8.930105901009036,22.52914347826097,13.600122474705387,-8.929021003555583
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,5,150,21.106,41.102,-61.6619434782609,-85.77799775672433,-24.11605427846343,28.599513544515307,6.009056479005104,6.009056479005104,22.590457065510204,26.722608695652127,13.599037577251934,-13.123571118400193,26.722608695652127,13.600122474705387,-13.12248622094674
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,6,175,21.106,41.102,-61.57556521739129,-85.77799775672433,-24.20243253933304,29.906019481754683,7.649964324153927,7.649964324153927,22.256055157600755,30.231643478260963,13.599037577251934,-16.63260590100903,30.231643478260963,13.600122474705387,-16.631521003555576
