strategy,file_id,candidate_id,sweep,z0_mode,health,obs_baseline_mV,pred_baseline_mV,baseline_delta_mV,raw_rmse_mV,centered_rmse_mV,stim_end_delta_mV
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,3,default_z0,ok,-61.480852173913036,-85.77799775672433,-24.297145582811297,25.969639504965677,2.2172572742029613,-4.818314596661146
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,3,observed_vm_z0,ok,-61.480852173913036,-85.76441810056227,-24.28356592664923,25.305975151455993,5.3417631376992505,-4.818207184754776
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,4,default_z0,ok,-61.364086956521746,-85.77799775672433,-24.413910800202586,27.25334377465913,3.92097580780313,-8.930105901009036
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,4,observed_vm_z0,ok,-61.364086956521746,-85.76436111395863,-24.400274157436883,26.60469628639845,6.216397000245591,-8.929998040110881
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,5,default_z0,ok,-61.6619434782609,-85.77799775672433,-24.11605427846343,28.599513544515307,6.009056479005104,-13.123571118400193
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,5,observed_vm_z0,ok,-61.6619434782609,-85.76450649538441,-24.102563017123508,27.985504359387633,7.6333429702447955,-13.123464410059682
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,6,default_z0,ok,-61.57556521739129,-85.77799775672433,-24.20243253933304,29.906019481754683,7.649964324153927,-16.63260590100903
nsga2_trace_feature_adaptive500,DH_1_MFA_BA,DH_1_MFA_BA__cand_13,6,observed_vm_z0,ok,-61.57556521739129,-85.76446432996657,-24.188899112575278,29.31783713178929,9.000290925643599,-16.632498859589134
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,1,default_z0,ok,-56.929060869565234,-87.59800966108885,-30.66894879152362,29.542041313606838,2.2185686581023916,3.9831467114743333
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,1,observed_vm_z0,ok,-56.929060869565234,-87.59800980384152,-30.668948934276287,28.81542511656774,6.66961299869507,3.9831468593322086
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,2,default_z0,ok,-56.6784434782609,-87.59800966108885,-30.91956618282795,30.63051011605374,0.9531925531750892,0.9080423636477306
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,2,observed_vm_z0,ok,-56.6784434782609,-87.59800979692073,-30.919566318659832,29.92384062778649,6.4340788852193,0.9080424980462354
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,3,default_z0,ok,-56.243756521739165,-87.59800966108885,-31.354253139349687,31.474244005894896,1.082580582883703,-1.5842011146130588
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,3,observed_vm_z0,ok,-56.243756521739165,-87.59800977485426,-31.354253253115097,30.764769499112905,6.527042359035724,-1.58420100033171
least_squares_12starts,VH_1_MFA,VH_1_MFA__cand_08,4,default_z0,ok,-56.366347826086965,-87.59800966108885,-31.231661835001887,32.09319741389523,2.1161629068982424,-3.97331415809127
