file_id,region,condition,candidate_id,P_gap_eff,gamma_t_eff,gamma_s_eff,volume_ratio_wa_wo,gki,eps,gl_a,zth,zs,P_gap_eff_plausible,gamma_t_eff_plausible,gamma_s_eff_plausible,volume_ratio_wa_wo_plausible,gki_plausible,eps_plausible,gl_a_plausible,zth_plausible,zs_plausible
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_085,4.332692265336449e-08,3.1065643424711486e-06,2.156612487169211e-08,0.0948630664389461,248.56341623284263,0.0018365140954955,1.1870411824258664,121.4254821598613,0.0013246923158452,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_032,1.0021565857108266e-08,9.550942824405349e-08,9.461229160733206e-07,0.0536641010548794,479.59476968010944,0.0004488473892222,17.77322773673577,102.15867121862952,0.0010635672939394,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_029,1.964843301596186e-05,1.1334805378241917e-08,8.495414368564173e-05,0.1423476335987839,354.9245404221098,0.0004163612612999,0.6349160994582731,139.91874081844497,0.001987146742813,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_022,1.9070264515886842e-08,4.167290843941572e-08,1.5679992983199951e-06,0.1124413155403217,352.021127239881,0.0004210671466239,1.9444933396791684,121.31921393620792,0.001538495476978,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_092,1.5013036618054624e-05,1.5625898669653913e-08,4.54226900877151e-06,0.1570382522025085,172.54200463152375,0.0004138533291854,1.7709113538559664,138.11886512397305,0.0065087275529436,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_023,3.498591753772751e-07,1.801866722059564e-08,7.353323152382274e-08,0.0705744446187895,285.87377922495057,0.0004303128685817,1.815318795370364,125.02983992294703,0.0014301016542764,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_018,4.4948907012532046e-08,1.5952929659921748e-07,1.4766358112959404e-06,0.1482376780647279,357.45012036553027,0.0004366271019131,0.7430240904323723,114.26334424021348,0.0339374010963381,True,True,True,True,False,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_034,9.972526664166561e-08,3.2236194157968334e-07,2.3052066660737005e-08,0.2654956591780325,131.6064022430729,0.0014346139012895,6.891854421011256,81.3679460878631,0.0081159086648795,True,True,True,True,True,True,True,False,True
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_050,1.1792199495263329e-07,1.0625701884513237e-07,7.993206059054864e-08,9.88952447712592,117.26635252206836,0.0004739835110082,9.366140518298952,125.8363958162852,37.87093916826417,True,True,True,True,True,True,True,False,False
DH_1_MFA,DH,MFA,DH_1_MFA__hybrid_optuna_094,0.0001092998040616,1.0590953017385749e-08,3.504236282414543e-05,0.153221529590895,351.0406816250352,0.0004757282109798,0.5480024293228093,144.47811752449627,0.0016011845014605,True,True,True,True,False,True,True,False,True
