file_id,candidate_id,region,condition,selection_note,accepted_all6,sweep,current_na,baseline_delta_pred_minus_obs_mV,raw_rmse_mV,centered_rmse_mV,obs_stim_end_centered_mV,pred_stim_end_centered_mV,stim_end_delta_pred_minus_obs_mV
DH_4_MFA_BA,DH_4_MFA_BA__cand_20,DH,MFA_BA,accepted_best,True,2,75,-19.59555164142023,19.778600220045718,0.9549918296983609,13.85960869565205,13.712073743110068,-0.14753495254198157
DH_4_MFA_BA,DH_4_MFA_BA__cand_20,DH,MFA_BA,accepted_best,True,3,100,-19.297512510985456,21.03413829532899,2.3260481556233183,18.518447826086863,13.712073743110068,-4.806374082976795
DH_4_MFA_BA,DH_4_MFA_BA__cand_20,DH,MFA_BA,accepted_best,True,4,125,-19.351912510985457,22.579546165684704,4.303042938702701,22.81082608695641,13.712073743110068,-9.098752343846343
DH_4_MFA_BA,DH_4_MFA_BA__cand_20,DH,MFA_BA,accepted_best,True,5,150,-19.690121206637656,24.12111260237135,6.029747311012233,26.292356521739315,13.712073743110068,-12.580282778629247
DH_4_MFA_BA,DH_4_MFA_BA__cand_20,DH,MFA_BA,accepted_best,True,6,175,-19.810334250115915,25.60161502435981,7.689746909606883,29.426917391304357,13.712073743110068,-15.71484364819429
DH_5_MFA,DH_5_MFA__cand_01,DH,MFA,best_nonaccepted,False,1,50,-27.23638531280193,25.78802440391975,2.77983501574482,8.935947826087073,13.68781559089642,4.751867764809347
DH_5_MFA,DH_5_MFA__cand_01,DH,MFA,best_nonaccepted,False,2,75,-24.99945487801935,25.464258293728786,1.2794534675647864,15.648386956521655,13.68781559089642,-1.9605713656252348
DH_5_MFA,DH_5_MFA__cand_01,DH,MFA,best_nonaccepted,False,3,100,-25.0947592258454,27.231069308678084,3.6597620369383255,21.633773913043562,13.68781559089642,-7.945958322147142
DH_5_MFA,DH_5_MFA__cand_01,DH,MFA,best_nonaccepted,False,4,125,-25.365041834541096,28.750150520895563,5.689650224822212,25.885278260869583,13.68781559089642,-12.197462669973163
DH_5_MFA,DH_5_MFA__cand_01,DH,MFA,best_nonaccepted,False,5,150,-25.65187226932367,31.699345649285085,9.17193616855996,31.833347826086968,13.68781559089642,-18.145532235190547
DH_5_MFA,DH_5_MFA__cand_01,DH,MFA,best_nonaccepted,False,6,175,-25.989694008454123,32.904936408038466,10.57584112354709,35.11898695652141,13.68781559089642,-21.43117136562499
DH_5_MFA_BA,DH_5_MFA_BA__cand_09,DH,MFA_BA,accepted_best,True,1,50,-29.757145990264597,28.054121282159965,4.146186354898419,6.049426086956451,13.671694267826268,7.622268180869817
DH_5_MFA_BA,DH_5_MFA_BA__cand_09,DH,MFA_BA,accepted_best,True,2,75,-29.98881120765588,29.06404312870135,2.482990872207607,9.82643478260843,13.671694267826268,3.845259485217838
DH_5_MFA_BA,DH_5_MFA_BA__cand_09,DH,MFA_BA,accepted_best,True,3,100,-30.425659033742853,30.522811090280733,0.9928313842173802,14.465847826086922,13.671694267826268,-0.7941535582606534
DH_5_MFA_BA,DH_5_MFA_BA__cand_09,DH,MFA_BA,accepted_best,True,4,125,-30.92399816417761,32.184204347601835,2.1129245437067117,19.0341869565218,13.671694267826268,-5.362492688695532
DH_5_MFA_BA,DH_5_MFA_BA__cand_09,DH,MFA_BA,accepted_best,True,5,150,-31.569498164177695,33.956697873670684,4.014301817377936,23.35576086956494,13.671694267826268,-9.684066601738671
DH_5_MFA_BA,DH_5_MFA_BA__cand_09,DH,MFA_BA,accepted_best,True,6,175,-32.17125903374285,35.80615361228197,5.937318168917501,27.56280434782611,13.671694267826268,-13.89111007999984
DH_6_MFA,DH_6_MFA__cand_01,DH,MFA,accepted_best,True,1,50,-35.093505521756356,34.036462813108386,3.080795889024032,7.1007391304347465,12.731125432615926,5.630386302181179
DH_6_MFA,DH_6_MFA__cand_01,DH,MFA,accepted_best,True,2,75,-36.022653347843324,35.184529460141675,1.694231053938522,9.637347826086923,12.731125432615926,3.0937776065290024
DH_6_MFA,DH_6_MFA__cand_01,DH,MFA,accepted_best,True,3,100,-36.110470739147644,35.906997591344556,0.7463775953272853,12.629426086956322,12.731125432615926,0.10169934565960403
DH_6_MFA,DH_6_MFA__cand_01,DH,MFA,accepted_best,True,4,125,-35.970783782625965,36.594758558414334,1.7218479440663297,15.798552173913059,12.731125432615926,-3.067426741297133
