scope,region,sweep,feature,experimental_contrast,cond_1,cond_2,mean_cond_1,mean_cond_2,ci_low_cond_1,ci_high_cond_1,ci_low_cond_2,ci_high_cond_2,estimate,pvalue,n_cond_1,n_cond_2,n_files,experimental_direction_raw,qvalue_bh,reject_bh_0p05,experimental_direction
region_VH,VH,2,peak_depolarization_mV,CONTROL_to_MFA_BA,CONTROL,MFA_BA,10.006417999999995,4.891351999999996,7.750106140257408,12.262729859742581,3.6090862982841134,6.173617701715878,-5.115065999999999,0.001000066801786082,4,7,11,decrease,0.0045857414487817895,True,decrease
region_VH,VH,3,peak_depolarization_mV,CONTROL_to_MFA_BA,CONTROL,MFA_BA,13.231436999999998,6.999037371428569,11.22688026803284,15.235993731967156,5.168803745985219,8.82927099687192,-6.232399628571429,0.00014703123152535666,4,7,11,decrease,0.0012831816569485672,True,decrease
region_VH,VH,4,peak_depolarization_mV,CONTROL_to_MFA_BA,CONTROL,MFA_BA,16.388076000000005,9.113520228571431,13.876369829498714,18.899782170501297,6.759386541345643,11.46765391579722,-7.274555771428574,0.0002658514896311958,4,7,11,decrease,0.001963211000353446,True,decrease
region_VH,VH,5,peak_depolarization_mV,CONTROL_to_MFA_BA,CONTROL,MFA_BA,18.852363000000004,11.4354336,17.09737706365829,20.60734893634172,8.554600790915746,14.316266409084253,-7.416929400000004,0.0004243485321261821,4,7,11,decrease,0.002715830605607565,True,decrease
region_VH,VH,6,peak_depolarization_mV,CONTROL_to_MFA_BA,CONTROL,MFA_BA,21.739736,13.792320914285714,19.359572943868272,24.11989905613173,10.48426457309229,17.10037725547914,-7.947415085714287,0.0006968828357074469,4,7,11,decrease,0.0035585506504210054,True,decrease
region_VH,VH,1,plateau_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.05016200436097177,0.012305737472468095,-0.2365592146903485,0.33688322341229204,0.005405794610033603,0.019205680334902588,-0.03785626688850367,0.7027152857487263,4,7,11,decrease,0.7648601749646001,False,no_clear_change
region_VH,VH,2,plateau_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.03311983364683459,0.02360195330850381,-0.059047971281149615,-0.007191696012519559,0.008237609038943756,0.038966297578063865,0.0567217869553384,0.0011585387571082402,4,7,11,increase,0.0050098973280356335,True,increase
region_VH,VH,3,plateau_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.05077736055469831,0.05783506856938451,-0.13917671867179243,0.037621997562395815,0.046923097826624106,0.0687470393121449,0.10861242912408281,0.028058510780954473,4,7,11,increase,0.05101547414718995,False,no_clear_change
region_VH,VH,4,plateau_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.042502105406570075,0.06543752094082521,-0.08823990715538405,0.003235696342243889,0.040003264511917595,0.09087177736973281,0.10793962634739529,0.0008305708004630614,4,7,11,increase,0.004027009941639085,True,increase
region_VH,VH,5,plateau_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.03214790616097176,0.09034449078366749,-0.07889577534780111,0.014599963025857587,0.056680951107147624,0.12400803046018735,0.12249239694463926,0.00035412409445756946,4,7,11,increase,0.0023433960765524226,True,increase
region_VH,VH,6,plateau_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,-0.04131012897810487,0.0969792958982304,-0.08469879431709516,0.0020785363608854246,0.06042535373126023,0.13353323806520057,0.13828942487633528,0.00010290154453139171,4,7,11,increase,0.0011201638384687512,True,increase
region_VH,VH,1,return_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.035737573992283486,0.05755258473312514,0.02575756649796835,0.04571758148659862,-0.11536728148868122,0.2304724509549315,0.021815010740841655,0.6416880033668564,2,3,11,increase,0.7097010175485969,False,no_clear_change
region_VH,VH,2,return_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.03982429368205262,0.15785980637654176,0.03398967117289158,0.04565891619121366,-0.38615625278086074,0.7018758655339442,0.11803551269448914,0.44909338351365014,4,3,11,increase,0.5232155924430875,False,no_clear_change
region_VH,VH,3,return_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.047600681287151225,0.023373784513509882,0.03138568762755248,0.06381567494674997,0.004767523489721072,0.04198004553729869,-0.024226896773641343,0.01517452940146889,4,3,11,decrease,0.030223129098361275,True,decrease
region_VH,VH,4,return_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.0622816868775902,0.07265781416358415,0.02711722432632742,0.09744614942885298,-0.0706210219272425,0.21593665025441078,0.01037612728599395,0.7907109624019694,4,3,11,increase,0.8341566196768029,False,no_clear_change
region_VH,VH,5,return_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.06969774122304208,0.19918147121983265,0.04676084963271937,0.09263463281336479,-0.12752109286230723,0.5258840353019725,0.1294837299967906,0.2965461034010831,4,4,11,increase,0.36831528777015926,False,no_clear_change
region_VH,VH,6,return_slope_mV_per_s,CONTROL_to_MFA_BA,CONTROL,MFA_BA,0.0671644320234627,0.11198497109826562,0.02940090952847913,0.10492795451844628,0.11198497109826562,0.11198497109826562,0.04482053907480292,,4,1,11,increase,,False,increase
