group,sweep,feature,n,mean,median,std,min,q1,q3,max,iqr,ci95_low,ci95_high,acceptable_low_q1,acceptable_high_q3,acceptable_low_ci95,acceptable_high_ci95
pooled,6,plateau_slope_mV_per_s,9,-0.0094,-0.0126,0.0646,-0.1209,-0.0492,0.0227,0.0958,0.0719,-0.0591,0.0402,-0.0492,0.0227,-0.0591,0.0402
T,6,plateau_slope_mV_per_s,5,0.0014,-0.0079,0.084,-0.1209,-0.0223,0.0623,0.0958,0.0846,-0.1029,0.1057,-0.0223,0.0623,-0.1029,0.1057
VH,6,plateau_slope_mV_per_s,4,-0.023,-0.0309,0.0355,-0.0529,-0.0501,-0.0037,0.0227,0.0464,-0.0795,0.0335,-0.0501,-0.0037,-0.0795,0.0335
pooled,6,decay_slope_mV_per_s,9,21.9727,18.8991,7.3769,13.0475,14.983,27.6646,32.0767,12.6816,16.3024,27.6431,14.983,27.6646,16.3024,27.6431
T,6,decay_slope_mV_per_s,5,27.177,27.6646,5.3033,18.3635,27.3558,30.4245,32.0767,3.0687,20.5921,33.762,27.3558,30.4245,20.5921,33.762
VH,6,decay_slope_mV_per_s,4,15.4674,14.9615,2.4594,13.0475,14.4668,15.9621,18.8991,1.4953,11.5539,19.3808,14.4668,15.9621,11.5539,19.3808
pooled,6,decay_tau_s,9,0.3263,0.316,0.084,0.177,0.296,0.381,0.462,0.085,0.2617,0.3909,0.296,0.381,0.2617,0.3909
T,6,decay_tau_s,5,0.2698,0.296,0.058,0.177,0.25,0.31,0.316,0.06,0.1978,0.3418,0.25,0.31,0.1978,0.3418
VH,6,decay_tau_s,4,0.397,0.39,0.0486,0.346,0.3723,0.4148,0.462,0.0425,0.3197,0.4743,0.3723,0.4148,0.3197,0.4743
pooled,6,undershoot_magnitude_mV,9,2.4268,2.6253,0.5703,1.5553,1.9653,2.738,3.2751,0.7727,1.9885,2.8652,1.9653,2.738,1.9885,2.8652
T,6,undershoot_magnitude_mV,5,2.7774,2.738,0.3848,2.2455,2.6453,2.9834,3.2751,0.3381,2.2997,3.2552,2.6453,2.9834,2.2997,3.2552
VH,6,undershoot_magnitude_mV,4,1.9885,1.8867,0.4569,1.5553,1.745,2.1303,2.6253,0.3854,1.2615,2.7156,1.745,2.1303,1.2615,2.7156
pooled,6,return_slope_mV_per_s,9,0.0656,0.0657,0.0174,0.032,0.0612,0.0737,0.0892,0.0125,0.0522,0.079,0.0612,0.0737,0.0522,0.079
T,6,return_slope_mV_per_s,5,0.0663,0.0648,0.0142,0.0504,0.0612,0.0657,0.0892,0.0045,0.0487,0.0839,0.0612,0.0657,0.0487,0.0839
VH,6,return_slope_mV_per_s,4,0.0647,0.0704,0.0232,0.032,0.0583,0.0768,0.0861,0.0185,0.0278,0.1016,0.0583,0.0768,0.0278,0.1016
